"samplec","Tobs","ele","Tmed"
"Feb",13.7,1546,15.11
"Feb",12.4,1575,14.92
"Feb",14.5,1586,14.84
"Feb",13.9,1627,14.6
"Feb",12.9,1633,14.55
"Feb",14.8,1636,14.53
"Feb",15.2,1796,13.7
"Mar",19.9,312,22.53
"Mar",19.9,322,22.48
"Mar",22,328,22.46
"Mar",17.9,352,22.37
"Mar",17.4,384,22.21
"Mar",21.3,442,21.96
"Mar",19.4,465,21.83
"Mar",17.2,475,21.79
"Mar",20,477,21.78
"Mar",17,571,21.34
"Mar",20.2,601,21.2
"Mar",19.7,621,21.1
"Mar",19.3,639,21.01
"Mar",17.7,708,20.66
"Mar",15.8,712,20.64
"Mar",16.5,929,19.72
"Mar",16.7,958,19.52
"Mar",13.7,983,19.34
"Mar",13,985,19.33
"Mar",16.4,991,19.28
"Mar",16.6,1024,19.09
"Mar",15.6,1131,18.47
"Mar",15.5,1139,18.44
"Mar",15.1,1198,18.12
"Mar",17,1303,17.46
"Mar",17.2,1330,17.29
"Mar",13,1337,17.25
"Mar",16.7,1353,17.16
"Mar",16.4,1373,17.05
"Mar",14.9,1425,16.77
"Mar",14.6,1444,16.67
"Mar",15.9,1546,16.07
"Mar",15.6,1575,15.89
"Mar",15.2,1586,15.82
"Mar",14.9,1627,15.6
"Mar",15.3,1633,15.56
"Mar",16.5,1636,15.54
"Mar",14.9,1796,14.8
"May",19.1,312,17.59
"May",19,322,17.55
"May",19.6,328,17.52
"May",20.2,352,17.42
"May",20,384,17.27
"May",18.6,442,17.01
"May",18.2,465,16.87
"May",20,475,16.81
"May",18.6,477,16.8
"May",18.7,571,16.27
"May",17.7,601,16.12
"May",17.3,621,16
"May",17.2,639,15.89
"May",17.4,708,15.47
"May",17.1,712,15.46
"May",13.9,929,14.14
"May",14.7,958,13.99
"May",13.6,983,13.85
"May",14.8,985,13.83
"May",12.3,991,13.79
"May",15.7,1024,13.62
"May",13.9,1131,13.06
"May",15.1,1139,13.02
"May",8.1,1198,12.72
"May",10.9,1303,12.13
"May",12,1330,11.97
"May",15.5,1337,11.94
"May",11,1353,11.85
"May",12.2,1373,11.75
"May",10.8,1425,11.49
"May",15.2,1444,11.39
"May",14.8,1546,10.81
"May",8.9,1575,10.65
"May",11.3,1586,10.58
"May",11.1,1627,10.4
"May",12.9,1633,10.37
"May",13.1,1636,10.36
"May",14.6,1796,9.88
"Jun",10,312,14.68
"Jun",9.8,322,14.64
"Jun",9.5,328,14.62
"Jun",12.8,352,14.55
"Jun",13.2,384,14.43
"Jun",10.1,442,14.21
"Jun",10.3,465,14.09
"Jun",12.4,475,14.05
"Jun",11.2,477,14.04
"Jun",9.1,571,13.61
"Jun",10.5,601,13.48
"Jun",7.5,621,13.38
"Jun",7.2,639,13.29
"Jun",6,708,12.93
"Jun",9.8,712,12.92
"Jun",12,929,11.84
"Jun",13,958,11.71
"Jun",14,983,11.58
"Jun",14.6,985,11.57
"Jun",8.6,991,11.53
"Jun",3.8,1024,11.39
"Jun",3.4,1131,10.9
"Jun",1,1139,10.86
"Jun",18,1198,10.58
"Jun",18.6,1303,10.02
"Jun",19.2,1330,9.87
"Jun",2.9,1337,9.84
"Jun",16.4,1353,9.76
"Jun",19.3,1373,9.67
"Jun",2.5,1425,9.42
"Jun",1.5,1444,9.33
"Jun",4.5,1546,8.81
"Jun",15.4,1575,8.67
"Jun",15.9,1586,8.62
"Jun",15.3,1627,8.46
"Jun",2.3,1633,8.43
"Jun",2.5,1636,8.42
"Jun",-1,1796,8
"Jul",12.8,312,15.35
"Jul",11.1,322,15.32
"Jul",15.5,328,15.31
"Jul",13.5,352,15.24
"Jul",14.7,384,15.12
