ponto	lon	lat	alt	ric	ABU	ABUd	ppa	MDE	are_buf_tot	flo	cam	are	MAT.P	MAT.B	MAP.P	MAP.B	NPP.P	NPP.B	ARE	WSC	PVS	PSA	PHA	PHA.P	BHA	BHA.P
F602	-49.557812	-28.281763	1330	22	233	0.063148765	3689.7	21.91	968300.54	316190.6	536829.33	863678445.6	13.55	13.61	1704	1666.02	1814.9	1451.024	863.6784456	0.11	0.48	5989.96	0.852104475	0.88	785.9473855	0.91
F605	-49.435689	-28.093822	1337	24	902	1.015651391	888.1	21.8	830004.18	720984.32	0	861075790	14.21	13.58	1656	1668.66	1748.6	1458.505	861.07579	0.42	1	524.94	0.722103637	0.87	783.5789689	0.91
F604	-49.63574	-28.142349	1353	22	279	0.275175067	1013.9	21.52	835408.01	398713.52	423035.4	837093162.7	13.24	13.51	1726	1674.48	1309.7	1466.626	837.0931627	0.02	0.92	595.23	0.81869985	0.98	761.7547781	0.91
F603	-49.560454	-28.314437	1373	22	157	0.209110282	750.8	21.2	823220.26	159832.89	615008.36	818238320.2	12.86	13.41	1701	1682.6	953.7	1469.851	818.2383202	0.13	0	422.23	0.773827044	0.94	744.5968714	0.91
F704	-49.534131	-28.083537	1425	22	143	0.135122366	1058.3	20.35	837217.44	709691.83	97289.16	644922908.7	13.65	13.15	1753	1699.05	1784.3	1526.445	644.9229087	0	0.66	720.88	0.803728742	0.96	580.4306178	0.9
F705	-49.541867	-28.089954	1444	21	316	0.295714018	1068.6	19.95	838365.32	697530.66	53856.67	581742314.3	13.03	13.33	1732	1688	1786.7	1675.425	581.7423143	0.19	1	735.18	0.754528788	0.9	541.0203523	0.93
F703	-49.490391	-28.11551	1546	19	265	0.258688012	1024.4	17.08	828728.26	523799.63	0	298556895	12.24	12.78	1789	1728.25	1761.4	1238	298.556895	0.06	1	356.93	0.522098804	0.63	265.7156366	0.89
F702	-49.633818	-28.156881	1575	16	36	0.032125647	1120.6	15.91	839056.33	515981.68	305766.96	246692493.7	12.02	12.45	1769	1756.62	1811.9	1638.135	246.6924937	1	1	552.05	0.822275203	0.98	212.1555446	0.86
F701	-49.593613	-28.168796	1586	16	43	0.055677845	772.3	15.86	822666.03	454307.26	340512.89	226364624	11.87	12.38	1759	1759.85	1304.3	1631.588	226.364624	0.02	0.52	351.53	0.797986049	0.97	192.4099304	0.85
F803	-49.603651	-28.165981	1627	16	56	0.060215054	930	13.68	831336.82	35614.92	771366.54	155036188	11.84	12.3	1777	1762	867	1587.6	155.036188	0	0.57	475.68	0.806396715	0.97	128.680036	0.83
F804	-49.518134	-28.097339	1633	15	56	0.012220404	4582.5	13.35	1022146.97	853020.05	154620.66	148546503.6	12.15	12.17	1790	1774.92	1806.9	1592.458	148.5465036	1	1	13547.38	1.0119255	0.99	120.3226679	0.81
F802	-49.508118	-28.09821	1636	13	317	0.379322723	835.7	13.19	825579.28	525536.91	271020.56	142004749	12.42	12.17	1799	1774.85	1808.2	1597.273	142.004749	0.06	0.88	415.93	0.792556109	0.96	116.4438942	0.82
F801	-49.480814	-28.127386	1796	9	79	0.069426136	1137.9	2	840798.8	575918.95	262333.83	3203484.17	11.82	11.75	1797	1817	710.7	1650.68	3.20348417	0	0.53	522.08	0.832390812	0.99	3.171449328	0.99
